cs
Java HotSpot(TM) 64-Bit Server VM (25.91-b15) for windows-amd64 JRE (1.8.0_91-b15), built on May 20 2016 17:43:15 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8264804k(3860248k free), swap 15342692k(7045120k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=D:/logs/temp.dump -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.098: [GC (Allocation Failure) [PSYoungGen: 2048K->488K(2560K)] 2048K->874K(9728K), 0.0072442 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.650: [GC (Allocation Failure) [PSYoungGen: 2536K->496K(2560K)] 2922K->1194K(9728K), 0.0010962 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.670: [GC (Allocation Failure) [PSYoungGen: 2544K->496K(2560K)] 3242K->1278K(9728K), 0.0022901 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.676: [GC (Allocation Failure) [PSYoungGen: 2544K->496K(2560K)] 3326K->1542K(9728K), 0.0009919 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.680: [GC (Allocation Failure) [PSYoungGen: 2544K->488K(2560K)] 3590K->1831K(9728K), 0.0007348 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.684: [GC (Allocation Failure) [PSYoungGen: 2536K->484K(1536K)] 3879K->2115K(8704K), 0.0006896 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.687: [GC (Allocation Failure) [PSYoungGen: 1508K->292K(2048K)] 3139K->2302K(9216K), 0.0009113 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.690: [GC (Allocation Failure) [PSYoungGen: 1316K->388K(2048K)] 3326K->2414K(9216K), 0.0007804 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.692: [GC (Allocation Failure) [PSYoungGen: 1412K->448K(2048K)] 3438K->2590K(9216K), 0.0005751 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.694: [GC (Allocation Failure) [PSYoungGen: 1472K->406K(2048K)] 3614K->2812K(9216K), 0.0006411 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.696: [GC (Allocation Failure) [PSYoungGen: 1430K->224K(2048K)] 3836K->2956K(9216K), 0.0004635 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.698: [GC (Allocation Failure) [PSYoungGen: 1248K->192K(2048K)] 3980K->3060K(9216K), 0.0006017 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.701: [GC (Allocation Failure) [PSYoungGen: 1215K->256K(2048K)] 4084K->3268K(9216K), 0.0009113 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.704: [GC (Allocation Failure) [PSYoungGen: 1280K->192K(2048K)] 4292K->3340K(9216K), 0.0007855 secs] [Times: user=0.06 sys=0.02, real=0.00 secs] 
1.707: [GC (Allocation Failure) [PSYoungGen: 1216K->242K(2048K)] 4364K->3519K(9216K), 0.0010317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.709: [GC (Allocation Failure) [PSYoungGen: 1266K->160K(2048K)] 4543K->3639K(9216K), 0.0006232 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.711: [GC (Allocation Failure) [PSYoungGen: 1184K->192K(2048K)] 4663K->3807K(9216K), 0.0005277 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.713: [GC (Allocation Failure) [PSYoungGen: 1216K->224K(2048K)] 4831K->3983K(9216K), 0.0006210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.715: [GC (Allocation Failure) [PSYoungGen: 1248K->224K(2048K)] 5007K->4119K(9216K), 0.0007027 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.717: [GC (Allocation Failure) [PSYoungGen: 1248K->224K(2048K)] 5143K->4263K(9216K), 0.0006462 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.720: [GC (Allocation Failure) [PSYoungGen: 1248K->192K(2048K)] 5287K->4383K(9216K), 0.0011688 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.723: [GC (Allocation Failure) [PSYoungGen: 1216K->283K(2048K)] 5407K->4610K(9216K), 0.0006466 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.725: [GC (Allocation Failure) [PSYoungGen: 1307K->224K(2048K)] 5634K->4802K(9216K), 0.0004551 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.727: [GC (Allocation Failure) [PSYoungGen: 1248K->288K(2048K)] 5826K->5018K(9216K), 0.0007986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.728: [GC (Allocation Failure) [PSYoungGen: 1312K->224K(2048K)] 6042K->5098K(9216K), 0.0005211 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.730: [GC (Allocation Failure) [PSYoungGen: 1248K->256K(2048K)] 6122K->5274K(9216K), 0.0006900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.732: [GC (Allocation Failure) [PSYoungGen: 1280K->160K(2048K)] 6298K->5322K(9216K), 0.0005434 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.733: [GC (Allocation Failure) [PSYoungGen: 1184K->192K(2048K)] 6346K->5490K(9216K), 0.0006765 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.735: [GC (Allocation Failure) [PSYoungGen: 1216K->224K(2048K)] 6514K->5666K(9216K), 0.0006079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.737: [GC (Allocation Failure) [PSYoungGen: 1248K->192K(2048K)] 6690K->5770K(9216K), 0.0013777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.739: [GC (Allocation Failure) [PSYoungGen: 1216K->192K(2048K)] 6794K->5906K(9216K), 0.0006900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.741: [GC (Allocation Failure) [PSYoungGen: 1216K->192K(2048K)] 6930K->6042K(9216K), 0.0006845 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.743: [GC (Allocation Failure) [PSYoungGen: 1216K->224K(2048K)] 7066K->6218K(9216K), 0.0007261 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.744: [GC (Allocation Failure) [PSYoungGen: 1248K->345K(2048K)] 7242K->6484K(9216K), 0.0006374 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.746: [GC (Allocation Failure) [PSYoungGen: 1369K->160K(2048K)] 7508K->6596K(9216K), 0.0006925 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.747: [GC (Allocation Failure) [PSYoungGen: 1184K->192K(2048K)] 7620K->6764K(9216K), 0.0006123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.749: [GC (Allocation Failure) [PSYoungGen: 1216K->256K(2048K)] 7788K->6964K(9216K), 0.0005988 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.750: [GC (Allocation Failure) [PSYoungGen: 1280K->256K(2560K)] 7988K->7116K(9728K), 0.0004668 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.752: [GC (Allocation Failure) [PSYoungGen: 2304K->320K(2560K)] 9164K->7316K(9728K), 0.0015400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.754: [Full GC (Ergonomics) [PSYoungGen: 320K->0K(2560K)] [ParOldGen: 6996K->6226K(7168K)] 7316K->6226K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0246584 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
1.780: [GC (Allocation Failure) [PSYoungGen: 2048K->320K(2560K)] 8274K->6546K(9728K), 0.0005463 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.782: [GC (Allocation Failure) [PSYoungGen: 2368K->288K(2560K)] 8594K->6786K(9728K), 0.0007330 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
1.784: [GC (Allocation Failure) [PSYoungGen: 2336K->320K(2560K)] 8834K->7082K(9728K), 0.0007749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.787: [GC (Allocation Failure) [PSYoungGen: 2368K->320K(2560K)] 9130K->7346K(9728K), 0.0013099 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.788: [Full GC (Ergonomics) [PSYoungGen: 320K->0K(2560K)] [ParOldGen: 7026K->7083K(7168K)] 7346K->7083K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0204814 secs] [Times: user=0.08 sys=0.02, real=0.02 secs] 
1.810: [Full GC (Ergonomics) [PSYoungGen: 2048K->186K(2560K)] [ParOldGen: 7083K->7142K(7168K)] 9131K->7328K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0189947 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
1.830: [Full GC (Ergonomics) [PSYoungGen: 2048K->656K(2560K)] [ParOldGen: 7142K->6957K(7168K)] 9190K->7613K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0159146 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
1.847: [Full GC (Ergonomics) [PSYoungGen: 2048K->825K(2560K)] [ParOldGen: 6957K->6957K(7168K)] 9005K->7782K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0137241 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1.862: [Full GC (Ergonomics) [PSYoungGen: 2048K->973K(2560K)] [ParOldGen: 6957K->6957K(7168K)] 9005K->7930K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0133732 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.876: [Full GC (Ergonomics) [PSYoungGen: 2048K->1103K(2560K)] [ParOldGen: 6957K->6957K(7168K)] 9005K->8060K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0129466 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.890: [Full GC (Ergonomics) [PSYoungGen: 2048K->1218K(2560K)] [ParOldGen: 6957K->6957K(7168K)] 9005K->8175K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0116458 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1.902: [Full GC (Ergonomics) [PSYoungGen: 2048K->1318K(2560K)] [ParOldGen: 6957K->6957K(7168K)] 9005K->8276K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0131625 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
1.916: [Full GC (Ergonomics) [PSYoungGen: 2048K->1407K(2560K)] [ParOldGen: 6957K->6946K(7168K)] 9005K->8354K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0173897 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
1.934: [Full GC (Ergonomics) [PSYoungGen: 2048K->1484K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8431K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0122763 secs] [Times: user=0.06 sys=0.02, real=0.01 secs] 
1.947: [Full GC (Ergonomics) [PSYoungGen: 2048K->1553K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8500K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0127022 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
1.960: [Full GC (Ergonomics) [PSYoungGen: 2048K->1613K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8560K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0126465 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.973: [Full GC (Ergonomics) [PSYoungGen: 2048K->1665K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8612K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0112133 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.985: [Full GC (Ergonomics) [PSYoungGen: 2048K->1712K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8658K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0121202 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
1.997: [Full GC (Ergonomics) [PSYoungGen: 2048K->1752K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8699K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0134261 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.011: [Full GC (Ergonomics) [PSYoungGen: 2048K->1788K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8735K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0120528 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.023: [Full GC (Ergonomics) [PSYoungGen: 2048K->1819K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8766K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0114489 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2.035: [Full GC (Ergonomics) [PSYoungGen: 2048K->1847K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8794K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0132266 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.048: [Full GC (Ergonomics) [PSYoungGen: 2048K->1871K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8818K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0127686 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.061: [Full GC (Ergonomics) [PSYoungGen: 2048K->1892K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8839K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0125640 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.074: [Full GC (Ergonomics) [PSYoungGen: 2048K->1911K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8858K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0121501 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.087: [Full GC (Ergonomics) [PSYoungGen: 2048K->1927K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8874K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0135884 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2.101: [Full GC (Ergonomics) [PSYoungGen: 2048K->1942K(2560K)] [ParOldGen: 6946K->6946K(7168K)] 8994K->8889K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0130943 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2.114: [Full GC (Ergonomics) [PSYoungGen: 2048K->1955K(2560K)] [ParOldGen: 6946K->6935K(7168K)] 8994K->8890K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0205832 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
